Code,Title,Points1_2019,Points2_2019,Points1_2020,Points2_2020,Points1_2021,Points2_2021
GA183,Business Information Systems,309,373,296,356,298   ,
GA184,Marketing and Sales                                ,307,348,307,357,300   ,
GA185,Finance and Economics,307,398,293,392,318   ,
GA186,Business with Entrepreneurship,297,328,280,356,287   ,
GA187,Rural Enterprise and Agri-Business                 ,280,367,281,352,291   ,
GA281,Film and Documentary                               ,287,360,304,379,310   ,301
GA282,Heritage Studies                                   ,238,308,220,281,252   ,
GA283,Contemporary Art,260,340,679,870,790  ,
GA284,Design,309,377,303,356,331   ,
GA285,"Education (Art, Design and Graphics)",,,,,406   ,
GA380,International Hotel Management,225,289,242,330,218   ,
GA381,International Tourism Management,261,290,278,350,252   ,
GA382,Culinary and Gastronomic Science,225,316,206,337,235   ,
GA384,Event Management with Public Relations             ,209,289,212,328,230   ,
GA385,Retail Management,219,319,,,,
GA480,Construction Management,260,312,260,336,302   ,
GA482,Quantity Surveying and Construction Economics      ,280,340,288,350,304   ,
GA483,Architectural Technology                           ,251,321,265,337,281   ,273
GA484,Civil Engineering,270,362,290,383,377   ,
GA580,Software and Electronic Engineering                ,301,351,300,393,300   ,
GA680,Mechanical Engineering,336,389,330,401,400   ,
GA681,Energy Engineering                                 ,281,328,293,366,312   ,
GA682,Biomedical Engineering,331,383,313,393,331   ,
GA683,Agricultural Engineering,301,365,309,385,304   ,
GA684,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),346,406,340,405,413   ,
GA685,Manufacturing Engineering Design,,,309,379,336   ,
GA780,Applied Freshwater and Marine Biology,300,360,327,377,366   ,
GA781,Applied Biology and Biopharmaceutical Science,317,376,337,390,381   ,
GA782,Chemical and Pharmaceutical Science,307,346,336,388,356   ,
GA783,Physics and Instrumentation,373,378,363,408,301   ,
GA784,Science (Undenominated),327,377,372,403,445   ,
GA785,Medical Science,451,486,473,500,517   ,510
GA786,Forensic Science and Analysis                      ,300,366,317,387,408   ,
GA787,Computing in Software Development                  ,275,327,270,315,310   ,
GA788,Computing and Digital Media,270,327,282,356,270   ,
GA789,Agriculture and Environmental Management (Mountbellew Campus),297,339,289,371,340   ,
GA790,Sport and Exercise Science,350,379,356,409,376   ,366
GA791,Public Health Nutrition                            ,364,397,368,409,368   ,
GA880,General Nursing                                    ,389,400,422,441,440  ,
GA882,Psychiatric Nursing,346,370,367,377,369   ,
GA885,Outdoor Education                                  ,210,298,252,262,269   ,
GA887,History and Geography                              ,228,296,244,380,201   ,
GA889,Applied Social Care                                ,260,297,266,298,265   ,
GA890,Early Childhood Education and Care                 ,278,319,270,327,281   ,227
GA891,Geography and Outdoor Education                    ,,,244,391,261   ,
GA892,Community Development and Youth Work (Level 8)     ,,,,,      ,
GA980,Education (Design Graphics and Construction),376,389,377,411,410   ,
GA981,Furniture Design and Manufacture - Letterfrack Campus,271,350,,,346   ,
GA982,Furniture and Wood Technology - Letterfrack Campus,270,352,,,360   ,
GA983,Furniture and Digital Manufacturing                ,,,,,      ,
GA984,Furniture Design  Making and Technology - Common E ,,,284,369,486   ,467
GC200,Business Studies (Cork),269,359,252,369,269   ,242
GC201,Accounting and Finance,251,388,303,388,260   ,226
GC230,Computing Science                                  ,228,327,325,393,300   ,289
GC250,Communications and Media Production,,,,,,
GC300,Business                                           ,251,302,390,432,264   ,264
GC301,Accounting & Finance,307,314,253,346,      ,251
GC302,"Business Studies - (HRM, Limerick)",269,269,,,377   ,377
GC305,International Hospitality Management (Limerick),327,327,253,253,,
GC307,Business (Marketing)                               ,,,,,289   ,270
GC400,Business Studies (Dublin),246,297,248,281,250   ,228
GC401,Accounting and Finance,181,309,202,343,242   ,242
GC402,Business Studies (HRM),217,290,218,236,      ,
GC403,Law,225,308,228,328,245   ,242
GC405,International Hospitality Management (Dublin),254,272,,,,
GC407,"Business Studies (Marketing, Dublin)",246,330,218,321,264   ,264
GC430,Computing Science,217,269,220,298,251   ,251
GC450,Communications and Media Production                ,227,307,254,280,225   ,225
GC462,Design Communication (Dublin),,,,,300  ,
GC489,Interior Architecture (Dublin),267,361,254,301,288  ,274
GC494,Fashion Design (Dublin),,,217,412,351  ,
GY101,Arts (Joint-Honours),300,374,300,391,327   ,326
GY104,Arts (Psychology),507,529,519,542,564   ,555
GY105,Arts (History),318,358,301,377,357   ,
GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),330,397,409,456,,
GY109,Arts (Mathematics and Education),411,487,403,466,413   ,
GY110,Arts with Children`s Studies,382,409,357,418,387   ,
GY111,Arts (English and Creative Writing)                ,402,472,330,492,421   ,420
GY112,Arts with Film Studies,338,370,321,399,,
GY113,Arts with Human Rights,338,409,368,422,413   ,
GY115,Arts with Performing Arts Studies                  ,328,367,387,443,300   ,
GY118,"Arts (Drama, Theatre and Performance Studies)",410,451,451,492,453   ,430
GY119,Arts (Journalism)                                  ,410,475,400,465,484   ,473
GY120,"Arts (Child, Youth and Family: Policy and Practice)",309,346,350,397,,
GY121,Arts (Children`s Studies),356,389,356,419,,
GY122,Na Dána (Cumarsáid agus Gaeilge),308,399,361,453,410   ,
GY123,Applied Social Sciences                            ,357,388,358,410,419   ,
GY124,Arts (Arts with Data Science),434,466,454,490,,
GY125,Arts (Digital Arts and Technology),324,379,328,347,403   ,
GY126,Arts (English and Media Studies),418,451,391,462,,
GY127,Arts (Film and Digital Media),387,435,401,462,430   ,421
GY128,Arts (Global Languages),370,440,352,476,346   ,
GY129,Arts (Global Experience)                           ,408,477,420,462,465   ,
GY130,Arts (Music),400,444,408,495,462   ,
GY131,Arts (History and Globalisation Studies),340,431,360,440,,
GY132,Government (Politics  Economics and Law)           ,402,444,407,435,465   ,451
GY133,Education (Computer Science and Mathematical Studi ,401,466,422,498,454   ,
GY134,Geography and Geosystems,,,410,445,425   ,
GY135,Arts (Global Media)                                ,,,,,442   ,
GY136,Na D�na (L�ann Teanga - options)                   ,,,,,526   ,
GY201,Commerce,420,453,433,466,476   ,
GY202,Commerce (International) with French               ,484,513,484,511,520   ,
GY203,Commerce (International) with German,489,541,489,566,518   ,
GY204,Commerce (International) with Spanish,484,500,495,511,506   ,
GY206,Business Information Systems (Work Placement and O ,431,445,465,488,509   ,
GY207,Commerce (Accounting) including optional Global Ex ,486,510,509,543,543   ,
GY208,Commerce (Gaeilge)                                 ,473,488,473,511,508   ,
GY209,Commerce (Global Experience),509,531,530,554,551   ,
GY250,Law and Business,436,467,487,510,510   ,
GY251,Law,473,498,499,518,542   ,
GY252,Law (BCL) and Human Rights                         ,510,521,520,541,565   ,
GY253,Law and Taxation,,,509,543,506   ,
GY254,Law (BCL)  Criminology and Criminal Justice        ,,,530,554,548   ,
GY261,Business Studies in International Hotel Management ,486,615,497,611,503  ,
GY262,Commerce in International Hotel Management (interv ,671,726,681,724,709  ,
GY301,Science                                            ,400,456,432,487,489   ,488
GY303,Biomedical Science                                 ,533,566,556,589,613   ,
GY304,Biotechnology                                      ,473,507,465,498,498   ,495
GY308,Environmental Science,413,440,408,484,431   ,430
GY309,Financial Mathematics and Economics,454,498,487,532,509   ,
GY310,Marine Science                                     ,409,456,419,476,467   ,
GY313,Environmental Health and Safety                    ,402,435,412,440,412   ,
GY314,Earth and Ocean Sciences,402,425,403,444,422   ,
GY318,Biopharmaceutical Chemistry,510,532,509,542,555   ,
GY319,Mathematical Science,456,531,476,566,543   ,
GY320,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",401,487,402,478,465   ,
GY321,Genetics and Genomics                              ,,,508,532,532   ,
GY322,Agricultural Sciences                              ,,,,,485   ,
GY350,Computer Science and Information Technology        ,425,466,403,454,495   ,
GY401,Engineering (Undenominated)                        ,444,499,465,511,522   ,520
GY402,Civil Engineering                                  ,509,543,455,499,533   ,521
GY405,Mechanical Engineering,443,499,454,509,541   ,
GY406,Electronic and Computer Engineering,509,547,510,544,555   ,
GY408,Biomedical Engineering,519,543,509,554,554   ,
GY410,Project and Construction Management,434,464,403,456,431   ,
GY413,Energy Systems Engineering,532,589,502,531,509   ,
GY414,Electrical and Electronic Engineering,454,487,405,429,433   ,
GY501,"Medicine (five year/six year course, HPAT required)",726,731,728,731,737 ,737
GY502,Occupational Therapy,532,543,555,567,601   ,
GY503,Speech and Language Therapy                        ,529,543,543,554,578   ,
GY504,Podiatric Medicine,434,463,443,476,531   ,526
GY515,General Nursing (Galway and Portiuncula),442,466,473,496,502   ,496
GY516,Mental Health Nursing                              ,388,413,440,467,475   ,441
GY517,Midwifery,429,468,495,518,520   ,509
ID001,Accounting and Finance,229,291,203,253,      ,
ID002,Business Studies                                   ,285,366,294,309,      ,
ID003,Business Studies with Chinese,,,,,,
LC110,"Art and Design (Common Entry, portfolio)",734,918,740,961,794  ,
LC114,Fashion and Textiles for Product and Costume (portfolio),900,988,880,1029,914  ,
LC115,Art and Design Teacher Education (LIT and UL  port ,,,942,1013,993  ,
LC220,Digital Marketing,254,288,262,298,263   ,
LC223,Law and Taxation,308,372,307,356,331   ,
LC224,Accounting and Finance,299,382,300,371,300   ,
LC225,Marketing and Management                           ,298,337,298,358,298   ,
LC226,Enterprise and Innovation                          ,216,298,234,310,255   ,
LC233,Software Development,300,371,272,339,280   ,
LC234,Interactive Digital Media,219,288,225,307,226   ,
LC236,Internet Systems Development,298,319,260,272,260   ,
LC239,Computer Networks and Systems Management           ,335,347,309,371,317   ,
LC241,Construction Management,276,303,255,338,326   ,
LC242,Property Valuation and Management,292,328,282,320,308   ,
LC243,Quantity Surveying,281,360,298,362,278   ,
LC248,Built Environment (Common Entry),307,350,288,376,300   ,
LC252,Civil Engineering Management,281,331,270,308,264   ,
LC263,Clinical Technology,282,359,294,359,391   ,
LC265,Forensic and Pharmaceutical Sciences,335,368,413,476,498   ,
LC266,Drug and Medicinal Product Analysis,236,299,262,300,252   ,
LC275,Electrical Engineering,288,340,298,384,361   ,347
LC288,Mechanical Engineering,307,360,346,415,378   ,369
LC289,Precision Engineering,280,369,291,350,261   ,
LC292,Social Care Work                                   ,360,389,367,389,374   ,
LC293,Business Studies with Travel and Tourism Management,299,326,307,356,271   ,264
LC294,Business Studies with Event Management,271,300,279,347,279   ,
LC295,Business Studies with Sports Management,263,298,252,313,262   ,
LC297,Community Development,217,269,235,298,272   ,262
LC320,Business,337,378,346,388,381   ,
LC330,Business with Computing,298,326,297,378,328   ,308
LC340,Interior Design                                    ,298,349,350,391,391   ,368
LC362,Biotechnology and Biopharmaceutical Sciences,379,402,413,440,429   ,
LC371,Creative Broadcast and Film Production,298,339,309,378,325   ,310
LC372,Music Technology and Production                    ,321,369,325,402,377   ,
LC374,Renewable and Electrical Energy Engineering        ,317,368,318,410,337   ,319
LC375,Industrial Automation and Robotic Systems          ,321,368,317,392,309   ,
LC376,Electronic Engineering,308,346,318,358,357   ,
LC380,Automotive Engineering and Transport Management    ,282,329,298,337,298   ,
LC392,Beauty and Spa Management,217,318,236,328,328   ,317
LC393,Early Childhood Education and Care,260,309,236,307,309   ,276
LC401,Early Childhood Education & Care (Thurles),298,387,297,298,,
LC402,Social Care Work                                   ,209,290,225,288,228   ,
LC408,Environmental Science and Climate                  ,262,346,279,348,279   ,
LC411,Marketing and Management (Thurles),226,300,,,,
LC414,Data Analytics and Cyber Security,,,236,336,,
LC416,Business                                           ,,,274,391,260   ,
LC418,Computing - Games Design and Development (Thurles),271,318,270,338,260   ,256
LC422,Sports Strength and Conditioning (Thurles),288,333,298,347,289   ,
LC434,Environmental Management in Agriculture (Thurles),278,347,297,349,,
LC502,Game Art and Design (portfolio),838,950,852,1024,841  ,
LC517,Creative Media and Design (Clonmel),229,273,234,327,279   ,
LC518,Digital Animation Production (portfolio),816,962,808,939,807  ,
LC612,Social Care Work                                   ,319,338,320,343,309   ,
LC613,Early Childhood Education and Care,346,388,242,327,,
LM002,Arts (offered in conjunction with Mary Immaculate College),329,388,348,410,360  ,360
LM019,Social Sciences                                    ,,,,,451   ,
LM020,Law and Accounting,436,476,465,499,474   ,
LM026,Performing Arts (audition required),307,367,303,401,329  ,
LM028,Criminal Justice                                   ,387,409,418,440,420   ,
LM029,Law Plus,473,499,490,521,530   ,
LM038,Psychology and Sociology,478,489,500,507,530   ,
LM039,Journalism and Digital Communication,388,430,402,455,432   ,
LM040,European Studies,350,462,369,488,409   ,
LM044,Applied Languages                                  ,404,473,442,499,429   ,
LM050,Business Studies (options)                         ,419,455,431,476,451   ,
LM056,International Business                             ,511,543,528,555,555  ,
LM058,Financial Mathematics,434,543,403,521,468   ,
LM063,Technology Management                              ,372,409,379,419,410   ,
LM066,Environmental Science                              ,,,,,430   ,
LM068,Food Science and Health,400,430,421,454,464  ,
LM076,Product Design and Technology (portfolio required),402,466,408,487,401  ,
LM077,Aeronautical Engineering,469,531,520,554,567   ,
LM082,Construction Management and Engineering,368,404,398,434,446  ,
LM089,Sport and Exercise Sciences                        ,441,466,474,489,498  ,
LM090,Physical Education with concurrent Teacher Educati ,498,520,532,565,552   ,544
LM091,Languages with concurrent Teacher Education,,,517,543,506   ,
LM092,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),478,509,507,531,521   ,
LM093,Equine Science,338,381,339,412,367   ,
LM094,Materials and Architectural Technology with concurrent Teacher Education,405,433,440,478,475   ,
LM095,Materials and Engineering Technology with concurre ,358,409,367,421,425   ,
LM096,Science with Teacher Ed (Physical Sciences with Ch ,382,422,405,454,454   ,
LM097,Mathematics and Computer Science with concurrent T ,,,402,509,465   ,
LM099,Architecture (portfolio requirement suspended),419,473,498,532,520   ,
LM100,Physiotherapy                                      ,565,577,589,601,613  ,
LM101,Medicine  - Graduate Entry (GAMSAT required)       ,55,57,55,57,57  ,
LM102,Psychology,495,519,509,529,534   ,
LM103,Paramedic Studies (Full B/Provisional C1 Drivers L ,313,403,392,445,429  ,
LM105,Exercise and Health Fitness Management             ,,,,,441   ,
LM115,Chemical and Biochemical Engineering               ,456,520,454,532,476   ,
LM116,Engineering (Biomedical/Civil/Design and Manufactu ,434,498,476,521,498  ,
LM118,Electronic and Computer Engineering                ,401,498,403,489,445   ,
LM121,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),352,420,351,423,402   ,
LM122,Creative Media and Interaction Design (Digital Des ,330,430,327,401,382   ,
LM123,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),412,455,441,478,498  ,
LM124,Mathematics (Math Science/Maths and Physics/Economics and Math Scien,)427,521,437,509,455   ,
LM125,Physics (Applied Physics or Mathematics & Physics),405,509,404,520,489   ,
LM150,General Nursing,440,463,475,498,498  ,487
LM152,Mental Health Nursing,388,418,419,430,478   ,466
LM154,Intellectual Disability Nursing,381,408,440,473,462   ,443
LM156,Midwifery                                          ,429,444,469,499,521  ,508
LY108,Business - Accounting,318,399,309,431,312   ,
LY118,Business,287,352,290,377,288   ,
LY128,Marketing with Online Technologies                 ,,,,,261   ,261
LY208,Law                                                ,300,359,300,367,300   ,290
LY218,Business - with Spanish/Irish options,298,367,,,,
LY228,Sports and Exercise - Common Entry                 ,278,330,300,367,290   ,
LY408,Design - Common Entry,307,368,320,381,301  ,
LY508,Fire Safety Engineering,270,299,276,326,283   ,
LY518,Quantity Surveying,307,368,301,368,304   ,
LY528,Construction Management,267,291,271,321,262   ,
LY538,Architectural Technology                           ,,,,,234   ,234
LY608,Mechanical Engineering                             ,304,333,300,379,300   ,
LY618,Electronic Engineering                             ,307,339,312,402,321   ,
LY708,Applied Computing                                  ,300,348,306,372,320   ,
LY748,Computer Science                                   ,,,317,420,316   ,
LY818,Science - Common Entry,302,371,303,409,302   ,
LY828,Agriculture (Common Entry),300,342,307,351,308   ,300
LY908,General Nursing,383,390,400,423,429  ,
LY918,Psychiatric Nursing,291,332,357,387,367  ,
LY928,Intellectual Disability Nursing,288,299,328,346,357   ,
LY968,"Early Childhood Care, Health and Education",300,336,303,361,288   ,
LY978,Health & Social Care (Common Entry),260,299,280,330,279   ,
MH001,Education - Primary Teaching (Froebel),496,520,507,531,564   ,
MH002,Education - Primary Teaching - Gaeltacht Applicants (Froebel),441,,,,      ,
MH003,Early Childhood - Teaching and Learning (full-time ,,,,,381   ,
MH101,Arts,316,369,318,388,338   ,336
MH103,Music,,367,,,     ,
MH106,Psychology - 3 years,495,499,521,529,554   ,
MH107,Social Science,326,349,346,388,390   ,
MH109,Media Studies                                      ,317,377,316,377,324   ,
MH116,Community and Youth Work (Full-Time)               ,,271,,,     ,
MH201,Science,350,392,360,418,401   ,400
MH202,Biotechnology,429,446,455,466,490   ,489
MH203,Biological and Geographical Sciences               ,,,430,465,451   ,
MH204,Physics with Astrophysics                          ,420,488,422,479,422   ,
MH206,Theoretical Physics and Mathematics,498,566,510,533,521   ,
MH207,Data Science,434,466,445,520,444   ,
MH208,Biological and Biomedical Sciences,451,476,498,510,543   ,
MH209,Psychology (through Science) - 4 years             ,473,485,498,510,529   ,
MH210,Pharmaceutical and Biomedical Chemistry            ,446,466,487,520,510   ,
MH212,Science or Maths & Computer Science or Maths & Applied Maths (with Ed),444,476,422,487,452   ,443
MH304,Engineering (Computer/Electronic/Communications),371,423,333,444,351   ,351
MH305,Product Design,358,411,357,409,326   ,
MH306,Robotics and Intelligent Devices,361,424,361,433,362   ,
MH401,Finance (options),352,392,357,398,370   ,
MH402,Quantitative Finance,476,487,476,509,476   ,
MH403,Accounting and Finance,402,432,422,468,424   ,
MH404,Business (options),400,429,430,454,441   ,
MH405,Equine Business,357,398,357,408,,
MH407,Business and Accounting,401,420,420,462,423   ,
MH411,Entrepreneurship,358,388,371,408,378   ,
MH501,LLB Law - four year Single Major Law programme     ,451,476,473,495,507   ,
MH502,Law (options)                                      ,410,442,451,473,465   ,
MH601,Computer Science through Arts (options)            ,342,369,352,403,381   ,
MH602,Computer Science through Science (options)         ,357,413,351,409,400   ,
MH603,Computational Thinking                             ,520,543,532,544,520   ,
MH801,Early Childhood - Teaching and Learning (part-time),347,358,327,378,AQA   ,AQA
MH802,Community and Youth Work (part-time  in service)   ,,,,,      ,
MH803,"Local Studies/Community Studies (part-time, evening) - Mature Students",,,,,      ,
MI001,Contemporary & Applied Theatre Studies,345,381,390,412,209   ,
MI002,Arts                                               ,300,378,281,389,280   ,
MI004,Education - Primary Teaching - International,,,577,589,589   ,
MI005,Education - Primary Teaching                       ,473,506,495,521,522   ,
MI006,Education - Primary Teaching - Gaeltacht Applicant ,442,473,462,519,485  ,
MI007,Early Childhood Care and Education,366,402,357,409,409   ,
MI008,Education and Psychology - Primary Teaching,543,555,588,601,590   ,
MI009,Education  Business Studies and Accounting         ,392,420,402,455,434   ,
MI010,Education  Business Studies and Religious Studies  ,326,355,368,389,370   ,
MI011,Education  Gaeilge and Religious Studies           ,377,387,409,451,407   ,
MI012,"Education, Gaeilge and Business Studies",398,440,401,463,387   ,
MI013,"Education, Mathematics and Gaeilge",433,465,444,477,509   ,
MI014,Education  Mathematics and Business Studies        ,,,434,487,476   ,
MU001,Theology and Arts,290,318,290,349,294   ,294
MU002,Theology,292,377,440,440,      ,
NC003,Computing (Degree Award options),261,316,260,303,271   ,
NC005,Human Resource Management                          ,297,320,300,331,301   ,
NC009,Business                                           ,297,339,300,346,300   ,
NC010,Psychology,366,399,400,440,420   ,
NC020,Marketing Practice,270,307,282,338,270   ,
NC022,Accounting and Finance,338,376,337,378,330   ,
NC023,Technology Management (with specialisations)       ,260,303,261,282,266   ,
NC025,Data Science,297,371,,,,
NC030,Early Childhood Education and Care                 ,,,,,251   ,251
NM801,Montessori Education,,,220,290,262   ,
NM802,Psychology                                         ,,,,,228   ,
PC405,"Social, Political and Community Studies",251,296,216,311,263   ,235
PC410,Arts and Humanities (fulfils Teaching Council requ ,203,289,209,300,262   ,230
PC411,English and History (fulfils Teaching Council requ ,168,289,209,310,243   ,224
RC001,Medicine - Undergraduate Entry (HPAT required)     ,729,733,733,738,741  ,740
RC004,Physiotherapy                                      ,532,542,566,567,589  ,589
RC005,Pharmacy                                           ,555,566,578,589,613  ,613
RC101,Medicine - Graduate Entry (GAMSAT required),60,62,61,63,      ,
SG141,Business,252,317,261,347,262   ,
SG142,Business in International Marketing and Sales with French,270,388,279,386,,
SG144,Business in International Marketing and Sales with Spanish,280,388,270,347,,
SG145,Business and ICT                                   ,,,,,279   ,
SG146,Accounting                                         ,307,347,309,411,304   ,
SG147,Sport with Business                                ,269,316,307,367,288   ,
SG148,Tourism with Event Management                      ,246,282,269,340,298   ,
SG149,Business in Finance and Investment,262,357,,,,
SG150,Business in Marketing                              ,,,,,298   ,
SG241,Performing Arts                                    ,279,348,328,387,341   ,
SG242,Early Childhood Care and Education                 ,278,318,279,319,287   ,
SG243,Social Care Practice                               ,297,338,301,346,309   ,
SG244,Fine Art                                           ,355,496,505,505,501  ,
SG245,Creative Design,261,338,282,339,332   ,
SG246,Computing,295,368,290,333,316   ,
SG247,English and Psychology,308,336,309,382,319   ,
SG248,Sociology and Politics,282,320,281,327,298   ,
SG249,Writing and Literature,279,338,297,368,308   ,
SG250,Application Design and User Experience,290,431,412,412,,
SG251,Computing (Smart Technologies),303,391,342,367,,
SG252,Software Development,300,354,307,319,310   ,
SG253,Computing in Computer Networks and Cyber Security  ,273,341,378,378,336   ,
SG254,Writing and Literature Online                      ,,,225,328,327   ,
SG255,Law and Business                                   ,,,,,291   ,
SG341,General Engineering                                ,,,,,373   ,
SG342,Civil Engineering                                  ,,,415,480,418   ,
SG343,Quantity Surveying,261,302,311,367,300   ,
SG344,Mechanical Engineering                             ,,,,,412   ,
SG346,Construction Project Management and Applied Technology,289,351,291,337,313   ,
SG347,Architecture,309,357,360,411,403   ,
SG348,Interior Architecture and Design,,,331,368,359   ,
SG349,Electronics and Self Driving Technologies          ,,,,,      ,
SG350,Robotics and Automation                            ,,,,,384   ,
SG441,Environmental Science,297,358,,,,
SG442,Occupational Safety and Health                     ,289,330,290,367,307   ,
SG443,Human Nutrition                                    ,357,419,356,397,376   ,
SG444,Science (Undenominated),308,369,338,420,358   ,
SG445,Pharmaceutical Science with Drug Development,347,369,311,367,357   ,
SG446,Applied Archaeology,289,290,,,,
SG447,Health Science and Physical Activity,316,363,328,387,326   ,
SG448,Forensic Investigation and Analysis                ,306,348,307,368,308   ,
SG449,Medical Biotechnology,329,352,341,395,315   ,
SG450,Environmental Science with Ecology (Level 8),,,304,368,310   ,
TA022,Creative Digital Media,260,318,,,,
TA023,Advertising and Marketing Communications,235,299,,,,
TA024,Early Childhood Care and Education,217,307,,,,
TA025,Social Care Practice,261,297,,,,
TA026,International Hospitality and Tourism Management,208,269,,,,
TA027,Botanical Cuisine,236,273,,,,
TA028,Digital Marketing Technologies,220,313,,,,
TA121,Accounting and Finance,202,328,,,,
TA122,Management,218,297,,,,
TA123,Marketing Management,207,284,,,,
TA125,International Business,229,300,,,,
TA221,Electronic Engineering,251,321,,,,
TA222,Mechanical Engineering,243,302,,,,
TA223,Sustainable Energy Engineering,236,305,,,,
TA224,Biomedical Design,218,324,,,,
TA225,Automation Engineering,235,288,,,,
TA226,Engineering Software,243,304,,,,
TA321,Pharmaceutical Science,261,298,,,,
TA322,Computing,200,294,,,,
TA323,Computing with IT Management,243,309,,,,
TA326,DNA and Forensic Analysis,300,362,,,,
TA327,Sports Science and Health,341,381,,,,
TA328,Computing with Language (French/German/Spanish),218,317,,,,
TA329,Computing with Data Analytics,218,296,,,,
TL801,Animation Visual Effects and Motion Design,281,341,281,349,718  ,
TL802,TV  Radio and New Media (Level 8)                  ,306,356,325,397,322   ,
TL803,Music Technology,264,288,,,,
TL810,Computing with Software Development,309,341,310,389,308   ,
TL811,Computing with Games Development                   ,310,334,358,,322   ,
TL812,Computing with Digital Media,369,369,,,,
TL815,Computing (Degree Award options)                   ,308,378,308,360,307   ,
TL823,Event Management (3 year programme)                ,291,346,299,369,293   ,
TL831,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),307,372,306,381,306   ,
TL842,Construction Management,,,,,      ,
TL844,Agricultural Engineering,311,368,300,373,301   ,
TL845,Civil Engineering                                  ,300,364,325,413,361   ,
TL847,Manufacturing Engineering,,,302,368,305   ,
TL848,Agricultural Science                               ,331,362,308,380,307   ,
TL851,Wildlife Biology (Degree Award options),310,362,309,383,309   ,
TL855,Pharmaceutical Science (Degree Award options),342,386,317,369,316   ,
TL858,Veterinary Bioscience                              ,326,369,308,393,317   ,
TL871,Health and Leisure (Degree Award options)          ,303,346,300,379,303   ,
TL872,Health and Leisure with Massage                    ,288,357,309,408,314   ,
TL873,Coaching and Sports Performance,282,336,289,329,308   ,
TL874,Inclusive Sport and Physical Activity              ,,,,,341   ,
TL880,Early Childhood Care and Education,307,347,307,349,309   ,
TL881,Social Care                                        ,308,356,309,362,301   ,
TL889,Counselling with Addiction - Mature applicants only,,,,,      ,
TL890,General Nursing and Mature Applicants,407,431,414,441,463   ,
TL891,Mental Health Nursing and Mature Applicants,367,379,378,399,440   ,419
TR002,Music,414,473,382,468,508   ,477
TR003,History,486,518,456,511,552   ,543
TR004,Law,532,552,565,578,590  ,589
TR005,Philosophy,391,446,442,476,510   ,497
TR006,Psychology,555,577,555,578,601  ,590
TR007,Clinical Speech and Language Studies,499,529,529,553,564  ,
TR009,Music Education,430,465,420,532,496  ,486
TR012,History and Political Science,532,557,552,578,,
TR015,"Philosophy, Political Science, Economics and Sociology",566,577,589,601,613  ,613
TR016,Deaf Studies                                       ,337,372,329,377,389   ,
TR017,Law and Business,576,589,602,613,,
TR018,Law and French,532,554,565,589,602  ,602
TR019,Law and German,523,555,542,566,577   ,567
TR020,Law and Political Science,567,600,601,613,,
TR021,Classics  Ancient History and Archaeology          ,377,495,370,434,467   ,462
TR022,Early and Modern Irish                             ,347,407,398,451,377   ,
TR023,English Studies                                    ,463,511,474,511,546   ,541
TR024,European Studies,520,544,530,566,566   ,
TR025,Drama and Theatre Studies,489,531,530,581,543  ,519
TR028,Ancient and Medieval History and Culture,339,451,342,453,498   ,463
TR029,Political Science and Geography,477,500,510,533,,
TR031,Mathematics                                        ,566,589,531,589,579   ,578
TR032,Engineering,487,520,508,533,556   ,555
TR033,Computer Science,465,488,509,545,566  ,549
TR034,Management Science and Information Systems Studies ,589,602,613,625,625  ,625
TR035,Theoretical Physics,554,601,543,601,590   ,589
TR038,Engineering with Management,499,543,532,556,589  ,589
TR039,Computer Science  Linguistics and a Language       ,435,498,424,488,443   ,
TR040,Middle Eastern and European Languages and Cultures,485,518,466,521,520   ,499
TR041,Religion                                           ,347,393,368,418,417   ,
TR042,Film                                               ,,,466,498,531   ,522
TR043,History of Art and Architecture,,,354,474,498   ,486
TR051,Medicine (HPAT required)                           ,730,739,734,745,743 ,743
TR052,Dental Science,590,602,613,625,625  ,625
TR053,Physiotherapy                                      ,533,544,566,567,590  ,
TR054,Occupational Therapy                               ,500,520,533,554,578  ,577
TR055,Radiation Therapy                                  ,510,521,543,554,577   ,566
TR056,Human Health and Disease                           ,543,565,564,578,601  ,
TR060,Biological and Biomedical Sciences,510,542,543,566,578  ,577
TR061,Chemical Sciences,488,520,510,532,558   ,554
TR062,Geography and Geoscience,435,485,473,499,495   ,
TR063,Physical Sciences,498,543,477,531,554   ,543
TR064,Environmental Science and Engineering              ,,,,,555   ,
TR072,Pharmacy,555,577,590,613,613  ,613
TR080,Global Business,565,577,589,601,613  ,
TR081,"Business, Economic and Social Studies (BESS)",518,542,543,565,577   ,567
TR082,Computer Science and Business,510,542,555,578,,
TR083,Sociology and Social Policy,451,474,478,513,,
TR084,Social Studies (Social Work),420,462,462,495,497   ,487
TR085,Business Studies and French,509,553,521,543,564   ,
TR086,Business Studies and German,474,495,499,518,530   ,
TR087,Business Studies and Russian,467,487,456,488,487   ,
TR089,Business Studies and Polish,393,434,424,468,391   ,
TR090,Business Studies and Spanish,510,543,531,542,566   ,
